2023 Progressive Metal Albums,,Releases:,1410,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
         FranticDav | Faceless_Aeons
tapestrymusicpodcast | ickybus
  Vortexpro000 | theSmilingCow
   PyroL | Fayiron
Unsinful",,,Images & Words: The Prog Discord,,,
,,LPs:,1206,,,,,,,,
,,EPs:,209,,,,,,,,
,,Debuts:,286,,,,,,,,
,,Reissue/Special:,21,,,,,,,,
Artist,Album,Release Date,Length,Genre / Subgenres,Vocal Style,Country / State,Bandcamp,Spotify,YouTube,Amazon,Apple Music
Kalmah,Kalmah,May 26,LP,Melodic Death metal,Harsh,"Oulu, Finland",BC,S,,,
Mesarthim,Arrival,May 26,LP,"Atmospheric Black metal, Electronic",Harsh,Australia,BC,S,,,
Mournful Congregation,The Exuviae of Gods - Part II,May 26,EP,Funeral Doom metal,Mixed,"Adelaide, Australia",BC,S,YT,,
itSELF,The Absence,May 26,LP,"Technical Death metal, Symphonic metal",Harsh,Poland,BC,,,,
Liquid Flesh,Dolores,May 26,LP,Death metal,Harsh,"Grenoble, France",BC,S,,,
Teitan,In Oculus Abyss,May 26,LP,"Avant-garde metal, Black metal",Mixed,"Rotterdam, Netherlands",BC,S,,,
Guru,Nova Lvx,May 26,LP,"Black metal, Doom metal",Mixed,France,BC,S,,,
The Silent Rage,Nuances Of Life,May 26,LP,Power metal,Clean,"Athens, Greece",BC,S,,,
RIFFT,Dead World Wanderer,May 26,EP,"Prog-metal, Doom metal, Post-metal",Clean,"Nashville, TN",BC,,,,
Vorder,False Haven,May 26,LP,"Post-metal, Doom metal, Sludge metal",Mixed,Sweden,BC,S,YT,,
Sea In The Sky,Fall in Place,May 26,EP,Prog-metal,Clean,"Redwood City, CA",BC,S,,,
A Constant Knowledge of Death,Dissecting A One-Winged Bird,May 26,LP,"Prog-metal, Black metal, Sludge metal",Mixed,"Massachusetts, MA",BC,S,,,
DZONOT,Tongue,May 26,LP,"Post-metal, Hardcore, Sludge metal",Mixed,"Köln, Germany",BC,S,,,
Ockra,Gratitude,May 26,LP,"Doom metal, Stoner metal",Clean,"Gothenburg, Sweden",BC,S,,,
Ethereal Void,Gods of a Dead World,May 26,LP,Death metal,Harsh,Canada,BC,S,,,
Speedwhore,Visions of a Parallel World,May 26,LP,"Thrash metal, Speed metal",Harsh,"München, Germany",BC,S,,,
The Intersphere,Wanderer,May 26,LP,"Prog-metal, Alt-rock",Clean,"Mannheim, Germany",BC,S,,,
Elcano,Hewn In Water,May 26,EP,"Nautical metal, Folk",Clean,"Olten, Switzerland",BC,S,YT,,
Anklebiter,To Live and Withstand,May 26,EP,Hardcore,Harsh,USA,BC,S,,,
True Home,Black Lotus,May 26,LP,"Doom metal, Drone metal, Ambient",Clean,"Dublin, Ireland",BC,S,,,
Megatheria,Gateway,May 26,LP,Post-metal,Instrumental,"Denver, CO",BC,S,,,
Amun,Spectra And Obsession,May 26,LP,Experimental Black metal,Mixed,"Worthington, OH",BC,S,,,
Fox Wound,Death Blossoms in a Trauma Year,May 26,LP,Screamo,Mixed,"Atlanta, GA",BC,S,,,
Metal Church,Congregation of Annihilation,May 26,LP,"Power metal, Thrash metal, Heavy metal",Clean,"Aberdeen, WA",,S,,,
Heathen Kings,Fealty To None,May 27,LP,Heavy metal,Clean,UK,BC,S,,,
Oromet,Oromet,June 1,LP,Doom metal,Harsh,"Sacramento, CA",BC,S,,,
Bríi,Último Ancestral Comum,June 1,LP,"Atmospheric Black metal, Lo-fi House",Harsh,Brazil,BC,S,,,
Project: Roenwolfe,Project: Roenwolfe,June 2,LP,"Power metal, Thrash metal",Mixed,"Harrisburg, PA",BC,S,,,
Omnium Gatherum,Slasher,June 2,EP,Melodic Death metal,Mixed,"Kotka, Finland",,S,,,
Saint Karloff,Paleolithic War Crimes,June 2,LP,"Stoner metal, Heavy Psych",Clean,"Oslo, Norway",BC,S,,,
Avenged Sevenfold,Life Is But A Dream…,June 2,LP,"Prog-metal, Heavy metal",Clean,"California, CA",,S,,,
Pupil Slicer,Blossom,June 2,LP,Mathcore,Mixed,"London, UK",BC,S,YT,,
Dieth,To Hell And Back,June 2,LP,"Death metal, Thrash metal",Harsh,"Gdańsk, Poland",BC,S,,,
Atlases,Between The Day & I,June 2,LP,"Post-metal, Metalcore",Mixed,"Pori, Finland",BC,S,,,
Moral Collapse,Divine Prosthetics,June 2,LP,Technical Death metal,Harsh,"Bengaluru, India",BC,S,,,
Wytch Hazel,IV: Sacrament,June 2,LP,"Heavy metal, Hard rock",Clean,"Lancaster, UK",BC,S,,,
Koningsor,Death Process,June 2,EP,Mathcore,Harsh,"Austin, TX",BC,S,,,
Gloryhammer,Return to the Kingdom of Fife,June 2,LP,"Power metal, Symphonic metal",Clean,"Perth, UK",BC,S,,,
Thantifaxath,Hive Mind Narcosis,June 2,LP,Avant-garde Black metal,Harsh,"Toronto, Canada",BC,S,YT,,
Spy,Satisfaction,June 2,LP,Hardcore,Harsh,"San Jose, CA",BC,S,,,
Hills Like White Lions,Meander,June 2,LP,"Prog-metal, Post-metal",Clean,"Amstetten, Austria",BC,S,YT,,
Aeffect,Theory of Mind,June 2,LP,"Prog-metal, Technical Death metal, Djent",Harsh,UK,BC,S,YT,,
Prydain,The Gates of Aramore,June 2,LP,Power metal,Clean,"Farr West, UT",BC,S,,,
Anubis Gate,Interference,June 2,LP,Prog-metal,Clean,"Aalborg, Denmark",,S,,,
Heldscalla,Two Cathedrals,June 2,LP,"Stoner metal, Doom metal",Mixed,"Seattle, WA",BC,S,,,
ISUA,Abandon,June 2,LP,"Post-metal, Sludge metal, Doom metal",Harsh,"Melbourne, Australia",BC,S,,,
Fjoergyn,Judasmesse,June 2,LP,"Black metal, Symphonic metal",Mixed,Germany,,S,,,
Unfurl,Ascension,June 2,LP,"Post-Hardcore, Sludge metal, Psychedelic",Mixed,"Pittsburgh, PA",BC,S,,,
Red Cain,Näe'bliss,June 2,LP,Prog-metal,Mixed,"Calgary, Canada",BC,S,,,
Weep,Life in Shades of Grey,June 2,EP,"Post-Hardcore, Depressive Black metal",Mixed,"Minneapolis, MN",BC,S,,,
Ok Goodnight,The Fox and the Bird,June 2,LP,Prog-metal,Mixed,"Boston, MA",BC,S,,,
Hellwitch,Annihilational Intercention,June 2,LP,"Technical Death metal, Thrash metal",Harsh,"Fort Lauderdale, FL",BC,S,,,
Spagyria,Arcane Arts,June 2,LP,"Drone metal, Dark Ambient",Instrumental,"Oviedo, Spain",BC,,,,
Necrofier,Burning Shadows in the Southern Night,June 2,LP,Melodic Black metal,Harsh,"Houston, TX",BC,S,,,
Opeth,Orchid (Abbey Road Remaster),June 2,LP,Prog-metal,Mixed,"Stockholm, Sweden",BC,S,,,
Opeth,"My Arms, Your Hearse (Abbey Road Remaster)",June 2,LP,Prog-metal,Mixed,"Stockholm, Sweden",BC,S,,,
Opeth,Morningrise (Abbey Road Remaster),June 2,LP,Prog-metal,Mixed,"Stockholm, Sweden",BC,S,,,
Antisoph,Non Satis,June 3,EP,Prog-metal,Clean,Germany,BC,S,,,
Stygian Love,Ghost Light,June 4,LP,Blackgaze,Harsh,"Flanders, Belgium",BC,,,,
Soluna,Synesthesia,June 4,EP,Metalcore,Mixed,"Chicago, IL",BC,S,YT,,
Eremit,Wearer of Numerous Forms,June 6,LP,"Doom metal, Sludge metal",Harsh,"Osnabrück, Germany",BC,S,,,
Legacy of the Seas,Eternidad,June 8,EP,"Power metal, Folk metal",Clean,"San Sebastian, Spain",BC,S,,,
To Be Gentle,What Keeps Me Here,June 8,LP,"Blackgaze, Screamo",Harsh,"Eugene, OR",BC,S,,,
Godflesh,Purge,June 9,LP,"Industrial metal, Post-Punk",Mixed,"Birmingham, UK",BC,S,,,
Rise To Fall,The Fifth Dimension,June 9,LP,Melodic Death metal,Mixed,"Gorliz, Spain",BC,S,,,
Glass Casket,Glass Casket,June 9,EP,Deathcore,Harsh,"Winston-Salem, NC",BC,S,,,
Stellar Circuits,Sight To Sound,June 9,LP,Prog-metal,Mixed,"Winston-Salem, NC",,S,YT,,
The Arcane Order,Distortions from Cosmogony,June 9,LP,Melodic Death metal,Harsh,Denmark,BC,S,YT,,
Johnny the Boy,You,June 9,LP,"Black metal, Sludge metal, Crust Punk",Mixed,UK,BC,S,YT,,
Avarice,Avarice,June 9,LP,"Melodic Death metal, Thrash metal",Harsh,Denmark,BC,S,,,
Scar Symmetry,The Singularity (Phase II - Xenotaph),June 9,LP,"Prog-metal, Melodic Death metal",Mixed,Sweden,,S,,,
Aodon,Portraits,June 9,LP,Post-Black metal,Harsh,France,BC,S,YT,,
Ray Alder,II,June 9,LP,Prog-metal,Clean,"Los Angeles, CA",,S,,,
Geld,Currency // Castration,June 9,LP,Hardcore Punk,Harsh,"Melbourne, Australia",BC,S,YT,,
Cynic,ReFocus,June 9,LP,"Prog-metal, Technical Death metal, Jazz Fusion",Mixed,"California, CA",BC,S,,,
Claustrum,Claustrum,June 9,LP,Death metal,Harsh,Italy,BC,S,,,
Stasis,Six Shades of Red,June 9,LP,"Metalcore, Post-Hardcore",Mixed,"Kelowna, Canada",BC,S,,,
Voidhaven,Lithic,June 9,LP,Death Doom metal,Mixed,"Hamburg, Germany",BC,S,YT,,
Grant The Sun,Voyage,June 9,LP,"Prog-metal, Post-metal",Mixed,"Oslo, Norway",BC,S,,,
Ruiner,The Book of Patience,June 9,LP,"Drone metal, Doom metal",Mixed,"Santa Fe, NM",BC,S,,,
Autonomie,"No Peace, Only Violence",June 9,EP,"Thrash metal, Hardcore Punk",Mixed,"Hundvåg, Norway",BC,S,,,
All Life Ends,Miscreation,June 9,LP,Technical Death metal,Harsh,"Saint Gallen, Switzerland",BC,S,YT,,
KTHRTK,Dreams Are The Only Safe Place to Hide,June 9,LP,"Prog-metal, Groove metal",Mixed,"New York, NY",BC,S,,,
Legion Of The Damned,The Poison Chalice,June 9,LP,"Death metal, Thrash metal",Harsh,"Helden, Netherlands",BC,S,,,
Carry The Torch,Delusion,June 9,LP,"Death metal, Thrash metal",Harsh,Sweden,BC,S,,,
Max Enix,Far From Home,June 9,LP,"Prog-metal, Symphonic metal",Clean,France,BC,S,,,
Slow Fall,Obsidian Waves,June 9,LP,Melodic Death metal,Mixed,"Oulu, Finland",,S,,,
We Are the Empty,The Desert,June 9,LP,"Alt-metal, Post-Hardcore, Djent",Mixed,USA,BC,S,,,
Slipknot,Adderall ,June 9,EP,"Alt-metal, Nu-metal",Clean,"Des Moines, IA",,S,,,
Agora,Empire,June 9,LP,Prog-metal,Clean,Mexico,,S,,,
Atan,Abnormal Load,June 9,EP,Prog-metal,Instru./Mixed,"London, UK",BC,S,,,
To Be Gentle,"I Am Wailing On the Eighth Storey, Unready To End My Life",June 11,EP,Screamo,Harsh,"Eugene, OR",BC,,,,
Takh,Takh,June 12,LP,Post-metal,Clean,"Ghent, Belgium",BC,S,,,
Trichomoniasis,Makeshift Crematoria,June 12,LP,Brutal Death metal,Harsh,"California, CA",BC,S,,,
Elcia,Mariner,June 13,LP,Prog-metal,Instrumental,"Portland, OR",BC,S,,,
Needle Play,Townie,June 14,LP,Mathcore,Mixed,"Boston, MA",BC,S,,,
Ritual of Descent,Death by Toll,June 14,EP,"Technical Death metal, Deathcore",Harsh,"Fort Worth, TX",BC,S,,,
Pire,Grief World,June 15,LP,Post-metal,Instrumental,"San Diego, CA",BC,S,,,
Saturnus,The Storm Within,June 16,LP,Death Doom metal,Harsh,Denmark,BC,S,,,
Elder Devil,Everything Worth Loving,June 16,LP,Grindcore,Harsh,"Fresno, CA",BC,S,YT,,
Vulture Industries,Ghosts from the Past,June 16,LP,"Prog-metal, Avant-garde metal",Clean,"Bergen, Norway",BC,S,YT,,
Thy Catafalque,Alföld,June 16,LP,"Prog-metal, Avant-garde metal",Mixed,"Budapest, Hungary",BC,S,YT,,
Creeping Death,Boundless Domain,June 16,LP,Death metal,Harsh,"Dallas, TX",BC,S,,,
AVKRVST,The Approbation,June 16,LP,Prog-metal,Mixed,Norway,,S,,,
Varmia,Nie nas widzę,June 16,LP,"Black metal, Folk metal",Mixed,"Olsztyn, Poland",BC,S,,,
Lanayah,I'm Picking Lights in a Field​.​.​.,June 16,LP,"Post-metal, Screamo, Doomgaze",Mixed,"Santa Barbara, CA",BC,S,,,
Memorrhage,Memorrhage,June 16,LP,"Nu-metal, Metalcore",Mixed,"Dallas, TX",BC,S,,,
Boris & Uniform,Bright New Disease,June 16,LP,"Noise rock, Sludge metal",Mixed,Japan / USA,BC,S,,,
Home Is Where,The Whaler,June 16,LP,"Post-Hardcore, Screamo, Midwest Emo",Mixed,"Palm Coast, FL",BC,S,,,
Suns Of The Tundra,The Only Equation,June 16,LP,"Prog-metal, Alt-metal",Clean,"London, UK",BC,S,,,
Sarmat,Determined To Strike,June 16,LP,"Prog-metal, Death metal, Jazz Fusion",Harsh,"New York, NY",BC,S,,,
Rise to the Sky,Two Years of Grief,June 16,LP,Death Doom metal,Mixed,"Santiago, Chile",BC,S,,,
Rană,Richtfeuer,June 16,LP,"Black metal, Post-metal, Neocrust",Mixed,"Hanover, Germany",BC,S,,,
Fifth Angel,When Angels Kill,June 16,LP,Heavy metal,Clean,"Seattle, WA",BC,S,,,
King Gizzard & The Lizard Wizard,PetroDragonic Apocalypse,June 16,LP,"Thrash metal, Heavy Psych",Clean,"Melbourne, Australia",BC,S,,,
Alions,Disillusion,June 16,LP,Metalcore,Mixed,"Lewiston, ME",BC,S,,,
Sigh,Live: The Eastern Forces of Evil 2022,June 16,LP,Avant-garde metal,Mixed,"Tokyo, Japan",BC,S,,,
She,Goodpaster,June 16,LP,Hardcore,Harsh,"Anchorage, AK",BC,S,,,
Below The Neck,An Imminent End,June 16,EP,Metalcore,Mixed,"Inverness, UK",BC,S,,,
Vision Denied,Age Of The Machine,June 16,LP,Power metal,Clean,"Würzburg, Germany",BC,S,,,
Divinex,Dreamscapes,June 16,LP,Prog-metal,Instrumental,"Rochester, NY",BC,S,,,
Nemesis,Nemesis,June 16,LP,Dissonant Black metal,Harsh,"Haugesund, Norway",BC,S,,,
Netherhall,Process,June 16,LP,Prog-metal,Clean,"Birmingham, UK",BC,S,,,
Øjne,Sogno #3,June 16,EP,Screamo,Harsh,"Milano, Italy",BC,S,,,
Endeavour,For The Time Being,June 16,LP,Metalcore,Mixed,Netherlands,BC,S,,,
Infinite Spectrum,Cage,June 16,LP,Prog-metal,Mixed,"Brooklyn, NY",BC,S,,,
Festacorn,Cafe Slap City Central,June 16,LP,"Prog-metal, Alt-metal",Mixed,"Mumbai, India",BC,S,,,
The Mosaic Window,Plight of Acceptance,June 16,LP,Melodic Black metal,Harsh,"Los Angeles, CA",BC,S,,,
Passéisme,Alternance,June 18,LP,Melodic Black metal,Harsh,"Nizhny Novgorod, Russia",BC,S,,,
The Arson Project,God Bless,June 18,LP,Grindcore,Harsh,"Malmö, Sweden",BC,S,,,
Barbelith,Deathless Master,June 18,EP,Atmospheric Black metal,Harsh,"Baltimore, MD",BC,S,,,
Sworn,A Journey Told Through Fire ,June 21,LP,Melodic Black metal,Harsh,"Bergen, Norway",BC,S,,,
Lithik,Geomorphology,June 21,LP,"Doom metal, Heavy metal",Clean,"Sydney, Australia",BC,S,,,
Lamassu,Made of Dust,June 21,LP,"Stoner metal, Hard rock, Grunge",Clean,"Melbourne, Australia",BC,S,,,
Entering Polaris,Atlantean Shores,June 22,LP,Prog-metal,Clean,Belgium,BC,S,,,
Entering Polaris,And Silently The Age Did Pass,June 22,LP,Prog-metal,Clean,Belgium,BC,S,,,
Lament,Anhedonia,June 22,LP,"Black metal, Doom metal, Post-metal",Harsh,"Tarnow, Poland",BC,S,,,
High Priest,Invocation,June 23,LP,"Stoner metal, Doom metal",Clean,"Chicago, IL",BC,S,,,
Pyramaze,Bloodlines,June 23,LP,"Prog-metal, Power metal",Clean,"Hjordkær, Denmark",,S,,,
The Anchoret,It All Began With Loneliness,June 23,LP,Prog-metal,Mixed,Canada,BC,S,YT,,
Burner,It All Returns to Nothing,June 23,LP,"Death metal, Hardcore",Harsh,"London, UK",BC,S,,,
Pylar,Límyte,June 23,LP,"Drone metal, Doom metal, Black metal",Mixed,"Sevilla, Spain",BC,S,,,
Onheil,In Black Ashes,June 23,LP,"Melodic Black metal, Thrash metal",Harsh,Netherlands,BC,S,YT,,
Structural ,Decrowned,June 23,LP,"Melodic Death metal, Technical Death metal",Harsh,Israel,BC,S,YT,,
Vexed,Negative Energy,June 23,LP,"Metalcore, Djent",Mixed,"Hertfordshire, UK",BC,S,,,
Degrees Of Truth,Alchemists,June 23,LP,Symphonic metal,Clean,"Varese, Italy",BC,S,,,
Graf Orlock,End Credits,June 23,EP,"Grindcore, Hardcore Punk",Harsh,"Anaheim, CA",BC,S,,,
Uzlaga,The Sunken Seer,June 23,LP,Atmospheric Black metal,Harsh,"Bristol, UK",BC,S,,,
Snorlax,The Necrotrophic Abyss,June 23,LP,"Black metal, Death metal",Harsh,"Brisbane, Australia",BC,S,,,
Loather,Eis,June 23,LP,"Black metal, Post-metal, Doom metal",Mixed,"Vienna, Austria",BC,S,YT,,
Wooden Veins,Imploding Waves,June 23,LP,Melodic Doom metal,Clean,Chile,BC,S,YT,,
Seek,Kokyou De Shinu Otoko,June 23,LP,"Black metal, Post-metal, Sludge metal",Harsh,"Osaka, Japan",BC,S,,,
Mental Cruelty,Zwielicht,June 23,LP,Deathcore,Harsh,"Karlsruhe, Germany",,S,YT,,
Guns From Countryside,Cahoot With The Devil,June 23,LP,"Stoner metal, Hard rock",Mixed,"Sikkim, India",BC,S,YT,,
Vermilion Dawn,Boreal Valley,June 23,EP,"Prog-metal, Death metal",Harsh,"Wisconsin, WI",BC,S,,,
Genevieve,Akratic Parasitism,June 23,LP,"Avant-garde metal, Black metal",Mixed,"Baltimore, MD",BC,,,,
Drought,Drought,June 23,EP,"Post-Hardcore, Screamo",Clean,"California, CA",BC,S,,,
Rainer Landfermann,Mehr Licht,June 23,EP,Avant-garde metal,Mixed,"Bonn, Germany",BC,S,,,
Krigsgrav,Fires in the Fall,June 23,LP,"Melodic Black metal, Doom metal",Harsh,"Dallas, TX",BC,S,,,
Stray Gods,Olympus,June 23,LP,"Heavy metal, NWOBHM",Clean,"Athens, Greece",BC,S,,,
Wilt,Huginn,June 23,EP,"Black metal, Doom metal",Harsh,"Winnipeg, Canada",BC,S,YT,,
Talvienkeli,In a World Full of Clouds,June 23,LP,"Prog-metal, Symphonic metal",Clean,"Lyon, France",BC,S,,,
The Animal State,Pantheon,June 23,LP,"Prog-metal, Alt-rock",Clean,"Portsmouth, UK",BC,S,,,
Harm,A Song You Can't Feel Anymore,June 23,LP,Post-Hardcore,Mixed,"Atlanta, GA",BC,S,,,
World Peace,It Is Written,June 23,LP,Powerviolence,Harsh,"Oakland, CA",BC,S,,,
Subterranean Disposition,Individuation,June 24,LP,Death Doom metal,Mixed,"Melbourne, Australia",BC,S,YT,,
Miserere Luminis,Ordalie,June 24,LP,"Atmospheric Black metal, Post-metal",Harsh,"Montreal, Canada",BC,S,,,
Trépas,Les Ombres Malades,June 24,LP,Atmospheric Black metal,Harsh,"Québec, Canada",BC,S,,,
Vordona,Quadrivium,June 27,LP,Prog-metal,Clean,"New York, NY",BC,S,,,
Paroxysm Unit,Fragmentation // Stratagem,June 28,LP,"Technical Death metal, Brutal Death metal",Harsh,"Nizhny Novgorod, Russia",BC,S,YT,,
Vampire Squid,Decade Of Mutiny I,June 29,EP,"Technical Death metal, Mathcore",Harsh,"Corona, CA",BC,S,,,
Ultima,Bloom The Ego,June 29,LP,"Prog-metal, Djent",Mixed,Italy,,S,,,
East Of The Wall ,A Neutral Second,June 30,LP,"Prog-metal, Post-metal",Clean,"Keyport, NJ",BC,S,,,
,Inevitable,June 30,LP,"Atmospheric Black metal, Depressive Black metal",Mixed,"Portland, OR",BC,S,YT,,
Serpent of Old,Ensemble Under The Dark Sun,June 30,LP,"Black metal, Death metal",Harsh,Turkey,BC,S,YT,,
Throw The Fight,Strangeworld,June 30,LP,"Post-Hardcore, Alt-metal",Mixed,"Minneapolis, MN",BC,S,,,
Before the Dawn,Stormbringers,June 30,LP,Melodic Death metal,Mixed,Finland,BC,S,,,
Lightbreaker,The Annihilation of the Annealids,June 30,LP,Symphonic Death metal,Mixed,"Portland, OR",BC,S,,,
Static Abyss,Aborted From Reality,June 30,LP,Death metal,Harsh,"Oakland, CA",BC,S,,,
Loma Prieta,Last,June 30,LP,Screamo,Harsh,"San Francisco, CA",BC,S,,,
Archaeologist,Elements,June 30,LP,Prog-metal,Instrumental,"San Jose, CA",BC,S,YT,,
Through Mists,Shipwreck,June 30,LP,"Prog-metal, Black metal, Death metal",Mixed,"Montreal, Canada",BC,S,YT,,
Through Mists,Chronosphere,June 30,LP,"Prog-metal, Black metal, Death metal",Mixed,"Montreal, Canada",BC,S,YT,,
Beneath Purgatory,The Martyr Approach,June 30,LP,"Prog-metal, Black metal, Thrash metal",Mixed,"Worcester, MA",BC,S,,,
Aathma ,Dust From A Dark Sun,June 30,LP,"Doom metal, Stoner metal, Sludge metal",Clean,"Madrid, Spain",BC,S,YT,,
Divide and Dissolve,Systemic,June 30,LP,Drone metal,Instrumental,"Melbourne, Australia",BC,S,,,
Grotesqueries,Vile Crematory,June 30,LP,Death metal,Harsh,"Boston, MA",BC,S,YT,,
Drewsif,Interloper,June 30,EP,"Prog-metal, Deathcore",Harsh,"Baltimore, MD",BC,S,,,
Eternal Voyager,Darkened Times,June 30,LP,"Power metal, Heavy metal",Clean,"Minneapolis, MN",BC,,,,
Anima Tempo,Chaos Paradox,June 30,LP,"Prog-metal, Djent",Mixed,Mexico,BC,S,,,
Fallen Joy,The Reborn,June 30,LP,Melodic Death metal,Harsh,"Paris, France",BC,S,,,
Cache,Cache,June 30,EP,"Sludge metal, Hardcore",Harsh,"Minneapolis, MN",BC,S,,,
Dwellings,Little Garden,June 30,LP,"Post-Hardcore, Swancore",Mixed,"Modesto, CA",,S,,,
The River,A Hollow Full of Hope,June 30,LP,"Doom metal, Post-rock, Slowcore",Clean,"London, UK",BC,S,,,
Ostraca,Disaster,June 30,LP,"Screamo, Post-rock, Emoviolence",Harsh,"Richmond, VA",BC,S,,,
Vordt,Ashes,June 30,LP,Black metal,Harsh,"Stuttgart, Germany",BC,S,,,
Coffin Mulch,Spectral Intercession,June 30,LP,Death metal,Harsh,"Glasgow, UK",BC,S,,,
Benthic Realm,Vessel,July 1,LP,Doom metal,Clean,"Massachusetts, MA",BC,S,,,
To Pluto,Worship/Obey,July 3,LP,Prog-metal,Mixed,"Montreal, Canada",BC,S,,,
Animals On LSD,Social Neurosis,July 5,EP,Sludge metal,Harsh,"Des Moines, IA",BC,,,,
Sans Lumière,Mirin Dajo Prophecy,July 6,LP,"Post-metal, Sludge metal, Stoner metal",Instrumental,"Eindhoven, Netherlands",BC,S,,,
Mother Earth Will Swallow You,For the Straight Forward Path Had Been Lost,July 6,LP,"Black metal, Doom metal, Sludge metal",Instrumental,"Freiburg, Germany",BC,,,,
Metide,Erebos,July 7,LP,"Atmospheric Sludge metal, Post-metal",Mixed,"Bergamo, Italy",BC,S,YT,,
Fen,Monuments to Absence,July 7,LP,Atmospheric Black metal,Mixed,"London, UK",BC,S,,,
Blackbraid,Blackbraid II,July 7,LP,Atmospheric Black metal,Harsh,"New York, NY",BC,S,,,
Winterage,Nekyia,July 7,LP,"Power metal, Symphonic metal",Clean,Italy,BC,S,,,
Hazing Over,Tunnel Vision,July 7,EP,"Mathcore, Deathcore",Harsh,"Pittsburgh, PA",BC,S,,,
Will Haven,VII,July 7,LP,"Post-Hardcore, Sludge metal",Mixed,"Sacramento, CA",BC,S,,,
Chepang,Swatta,July 7,LP,Grindcore,Harsh,Nepal,BC,S,,,
Astral Tomb,Total Spiritual Death,July 7,LP,Death metal,Harsh,"Denver, CO",BC,S,,,
Gutslit,Carnal,July 7,LP,Brutal Death metal,Harsh,India,BC,S,,,
Impure Wilhelmina,I Can​’​t Believe I Was Born In July - Remaster,July 7,LP,"Atmospheric Sludge metal, Post-Hardcore",Mixed,"Genève, Switzerland",BC,S,,,
Stillbeing,World Builder,July 7,LP,"Prog-metal, Post-metal, Doom metal",Mixed,"Texas, TX",BC,S,,,
Voidmïlker,Labyrinthical,July 7,LP,Black metal,Harsh,"Santiago, Chile",BC,S,,,
Colloidal Heart ,Incarnations Of,July 7,LP,Black metal,Harsh,Australia,BC,S,,,
Eudaemon,Inhuman Flourishing,July 7,EP,"Prog-metal, Black metal",Harsh,"Minneapolis, MN",BC,S,,,
Omnibeing,Recurrence,July 7,LP,Prog-metal,Instrumental,"Minsk, Belarus",BC,S,,,
Circuit Circuit,Body Songs,July 7,EP,"Mathcore, Noise rock",Mixed,"Nashville, TN",BC,S,,,
Atomic Symphony,Nemesis,July 7,LP,Prog-metal,Clean,"Zurich, Switzerland",BC,S,,,
The Shadows Of Ithaca,Hunt The Hunter,July 7,LP,"Heavy metal, Blues rock",Clean,Greece,BC,,,,
Rêvasseur,Talisman,July 7,LP,Melodic Death metal,Harsh,"Hanoi, Vietnam",BC,S,,,
Putridity,Greedy Gory Gluttony,July 7,EP,Brutal Death metal,Harsh,"Turin, Italy",BC,S,YT,,
Mutiara Damansara,Mutiara Damansara,July 7,LP,"Blackgaze, Post-metal",Mixed,"Rennes, France",BC,,,,
Widow's Peak,Claustrophobe,July 7,LP,Technical Death metal,Harsh,"Calgary, Canada",BC,S,,,
Uamh,At the Edge of the Loch,July 7,LP,Atmospheric Black metal,Harsh,"Montana, MT",BC,S,,,
Syqem,Artificial Irrelephants,July 7,LP,"Alt-metal, Nu metal, Djent",Mixed,"Hamburg, Germany",BC,,,,
The Luminary,Second Sleep,July 7,LP,"Prog-metal, Metalcore",Mixed,"Ontario, Canada",BC,S,YT,,
Better Lovers,God Made Me An Animal,July 7,EP,Mathcore,Mixed,USA,BC,S,,,
Vacuous,Decadence,July 7,LP,Metalcore,Harsh,"Seattle, WA",BC,S,,,
Gnot,С​В​Е​Т,July 7,EP,Post-Black metal,Mixed,"Saint Petersburg, Russia",BC,S,,,
Nostalghia,Duelo,July 7,LP,"Atmospheric Black metal, Blackgaze",Harsh,"Mexico City, Mexico",BC,S,,,
Celéne,Forlorn Paradise,July 7,LP,"Post-Black metal, Gothic metal",Mixed,"Patras, Greece",BC,S,,,
Epicenter,Flood,July 8,EP,"Prog-metal, Death metal, Thrash metal",Harsh,"Nashua, NH",BC,S,,,
Imperceptum,Chaos Pilgrimage,July 9,LP,"Atmospheric Black metal, Funeral Doom metal",Harsh,"Bremen, Germany",BC,S,,,
Nidare,Naehe und Flackern,July 12,EP,"Post-metal, Black metal, Sludge metal",Harsh,"Berlin, Germany",BC,S,,,
A Dark Halo,Omnibus One,July 13,LP,"Prog-metal, Cyber metal",Mixed,"Austin, TX",BC,S,,,
Calligram,Position | Momentum,July 14,LP,"Black metal, Hardcore, Crust",Harsh,"London, UK",BC,S,YT,,
Aetherian,At Storm's Edge,July 14,LP,Melodic Death metal,Harsh,"Athens, Greece",BC,S,,,
Crown Magnetar,Everything Bleeds,July 14,LP,Deathcore,Harsh,"Colorado Springs, CO",BC,S,,,
Cel Damage,No Volume,July 14,LP,Mathcore,Harsh,"Apple Valley, CA",BC,S,,,
Voyager,Fearless in Love,July 14,LP,Prog-metal,Clean,"Perth, Australia",BC,S,,,
Chamber,A Love To Kill For,July 14,LP,"Metalcore, Mathcore",Harsh,"Nashville, TN",BC,S,,,
Evile,The Unknown,July 14,LP,Thrash metal,Mixed,"Huddersfield, UK",BC,S,,,
